brand,bike_name,displacement_cc,price,power_bhp,weight_kg,mileage,top_speed,star_rating
Royal Enfield,Royal Enfield Hunter 350,349.34,149900,20.2,177,31,146,4.7
Honda,Honda SP 125,124,88343,10.72,116,65,100,4.5
TVS,TVS Jupiter,113.3,78502,7.91,106,62,85,4.7
Yamaha,Yamaha MT 15 V2,155,169207,18.1,141,40,125,4.8
Royal Enfield,Royal Enfield Classic 350,349,199499,20.2,195,37,115,4.7
TVS,TVS Raider 125,124.8,89366,11.2,123,63,93,4.4
Royal Enfield,Royal Enfield Bullet 350,349,173562,20.2,195,45,110,4.6
Yamaha,Yamaha R15 V4,155,183465,18.1,141,40,125,4.8
Bajaj,Bajaj Pulsar NS400Z,373,184998,39.4,174,31,146,4.6
Hero,Hero Xtreme 125R,124.7,97683,11.4,136,63,93,4.7
Honda,Honda Activa 6G,109.51,79327,7.73,106,45,85,4.3
KTM,KTM 200 Duke,199.5,199100,24.67,159,35,142,4.7
TVS,TVS Ronin,225.9,136025,20.1,159,40,125,4.6
Royal Enfield,Royal Enfield Continental GT 650,648,318418,47,211,26,161,4.8
Hero,Hero Splendor Plus,97.2,74650,7.91,112,63,93,4.6
TVS,TVS Apache RTR 160,159.7,117199,15.82,137,48,107,4.5
Bajaj,Bajaj Pulsar N160,164.82,122959,15.68,152,40,125,4.6
Harley-Davidson,Harley-Davidson X440,440,239500,27,190,31,146,4.8
Bajaj,Bajaj Pulsar NS200,199.5,142060,24.13,160,40,125,4.7
TVS,TVS Ntorq 125,124.8,94187,9.25,118,60,95,4.4
Jawa,Jawa 42 FJ,334,199142,28.76,195,31,146,4.7
Jawa,Jawa 42 Bobber,334,213569,29.51,193,31,146,4.6
Honda,Honda Shine,123.94,82065,10.59,113,63,93,4.4
Bajaj,Bajaj Pulsar 150,149.5,111685,13.8,148,65,112,4.5
Royal Enfield,Royal Enfield Meteor 350,349,205528,20.2,191,42,120,4.6
Bajaj,Bajaj Pulsar NS125,124.45,104556,11.8,144,63,93,4.5
Suzuki,Suzuki Access 125,124,83062,8.6,103,63,93,4.3
Bajaj,Bajaj Pulsar 125,124.4,85861,11.64,140,62,105,4.4
TVS,TVS Apache RTR 160 4V,159.7,123742,17.31,144,30,113,4.5
Hero,Hero Splendor Plus Xtec,97.2,80353,7.9,112,63,93,4.6
Honda,Honda Activa 125,124,83037,8.19,110,63,93,4.4
Honda,Honda SP160,162.71,119447,13.27,139,40,125,4.6
Bajaj,Bajaj Pulsar RS 200,199.5,172698,24.1,166,35,141,4.7
Yamaha,Yamaha FZS FI V4,149,130290,12.2,136,40,125,4.6
KTM,KTM 250 Duke,249.07,241531,30.57,163,30,142,4.8
Bajaj,Bajaj Pulsar NS160,160.3,124612,17.03,152,45,120,4.6
TVS,TVS Jupiter 125,124.8,88174,8.04,108,50,90,4
Jawa,Jawa 42,294.72,172942,26.94,184,31,146,4.3
Triumph,Triumph Speed 400,398.15,240000,39.5,176,31,146,4.7
Royal Enfield,Royal Enfield Guerrilla 450,452,239000,39.47,185,31,146,4.7
TVS,TVS Apache RR 310,312.2,275000,37.48,174,30,160,4.5
Hero,Hero HF Deluxe,97.2,56674,7.91,110,83,85,4.5
Honda,Honda Unicorn,162.7,111491,12.73,140,40,125,4.3
Suzuki,Suzuki Burgman Street 125,124,96804,8.58,110,63,93,4.4
BMW,BMW G310 RR,312.12,305000,33.5,174,31,146,4.7
Royal Enfield,Royal Enfield Himalayan 450,452,285000,39.47,196,31,146,4.8
Kawasaki,Kawasaki Ninja H2R,998,7990000,305.75,216,15,164,4.8
KTM,KTM 390 Duke,398.63,297784,45.3,168,35,167,4.8
Kawasaki,Kawasaki Z900,948,938000,123.64,212,15,164,4.9
Royal Enfield,Royal Enfield Shotgun 650,648,359430,46.39,240,20,164,4.7
Honda,Honda Hornet 2.0,184.4,140327,17.03,142,40,130,4.2
Yamaha,Yamaha FZ S FI,149,122491,12.2,135,40,125,4.3
Honda,Honda Hness CB350,348.36,209831,20.78,181,31,146,4.5
Hero,Hero Mavrick 440,440,199001,27,191,31,146,4.8
Honda,Honda Shine 100,98.98,65071,7.28,99,63,93,4.7
Hero,Hero Xtreme 160R,163.2,111111,14.79,140,55,115,4.3
TVS,TVS Sport,109.7,64410,8.18,112,76,90,4.3
Bajaj,Bajaj Pulsar 220 F,220,139096,20.11,160,40,125,4.8
Aprilia,Aprilia RS 457,457,410003,46.9,131,31,146,4.8
Royal Enfield,Royal Enfield Super Meteor 650,648,363900,46.3,241,20,164,4.8
Honda,Honda Dio,109.51,75408,7.75,103,55,83,4.5
Yamaha,Yamaha Ray ZR 125,125,87081,8.04,99,63,93,4.3
KTM,KTM 125 Duke,124.7,180918,14.3,159,35,120,4.7
Triumph,Triumph Scrambler 400 X,398.15,264496,39.5,185,31,146,4.8
Bajaj,Bajaj Pulsar N150,149.68,124497,14.3,132,40,125,4.6
Bajaj,Bajaj Dominar 400,373.3,226062,39.42,193,31,146,4.7
Hero,Hero Super Splendor,124.7,81018,10.72,122,60,100,4.4
Yamaha,Yamaha FZ X,149,137103,12.2,139,40,125,3.9
Kawasaki,Kawasaki Ninja 300,296,343000,38.88,179,26,182,4.7
Kawasaki,Kawasaki Ninja ZX-10R,998,1679000,200.21,207,15,164,4.9
Yamaha,Yamaha Aerox 155,155,149182,14.75,126,45,120,4.5
Hero,Hero Xpulse 200 4V,199.6,147407,18.9,159,40,125,4.5
Suzuki,Suzuki Gixxer SF,155,136172,13.4,148,47,127,4.5
Honda,Honda CB350,348.66,200185,20.7,187,31,146,4.7
TVS,TVS Apache RTR 200 4V,197.75,149920,20.54,152,32,127,4.5
Royal Enfield,Royal Enfield Interceptor 650,648,302418,47,213,26,170,4.6
BMW,BMW G 310 R,313,290000,33.52,164,30,153,4.7
Bajaj,Bajaj Pulsar N250,249,150628,24.1,162,35,130,4.5
TVS,TVS Apache RTR 310,312.12,267001,35.08,169,31,146,4.8
Triumph,Triumph Speed T4,398.15,217000,30.6,180,31,146,4.7
Yezdi,Yezdi Roadster,334,207958,29.23,194,30,140,4.4
Honda,Honda Dio 125,123.92,87456,8.16,104,63,93,4.6
Hero,Hero Xtreme 160R 4V,163.2,128374,16.6,144,40,125,4.7
Honda,Honda CB300F,293.52,170043,24.13,153,31,146,4.6
Bajaj,Bajaj Dominar 250,248.8,180155,26.63,180,35,132,4.5
Honda,Honda Livo,109.51,80053,8.67,113,74,86,4.4
Honda,Honda CB200X,184.4,148410,17.03,147,40,130,4.2
Yamaha,Yamaha MT-03,321,460266,41.4,167,31,146,4
Kawasaki,Kawasaki W175,177,122000,12.8,135,40,125,4.3
Hero,Hero Glamour,124.7,82970,10.39,121,63,93,4
KTM,KTM RC 200,199.5,220228,24.6,160,35,170,4.4
Suzuki,Suzuki Hayabusa,1340,1691968,190,266,11,191,4.8
Jawa,Jawa Perak,334,215340,30.2,185,31,146,4.6
Yamaha,Yamaha FZ FI,149,116154,12.2,135,40,125,4.6
Suzuki,Suzuki V-Strom SX,249,214079,26.1,167,40,125,4.6
Yezdi,Yezdi Adventure,334,211920,29.89,187,30,142,4.7
TVS,TVS Radeon,109.7,72181,8.08,113,69,95,4.4
Bajaj,Bajaj Platina 110,115.45,68998,8.48,119,80,90,4.4
Suzuki,Suzuki Avenis 125,124.3,94571,8.58,106,63,93,4.6
Hero,Hero Karizma XMR,210,180284,25.15,164,40,125,4.7
BMW,BMW S 1000 RR,999,2075000,206.51,197,17,164,4.9
TVS,TVS Apache RTR 180,177.4,134330,16.78,140,47,113,4.6
Yamaha,Yamaha R15S,155,166554,18.1,142,40,125,4.8
Bajaj,Bajaj Platina 100,102,66837,7.79,117,97,90,4.5
Keeway,Keeway SR125,125,120000,9.56,120,63,93,4.1
BMW,BMW G 310 GS,313,330000,33.52,175,30,141,4.8
Honda,Honda CB350RS,348.36,214858,20.78,179,31,146,4.6
Honda,Honda CB300R,286,240043,30.7,146,30,160,4.7
TVS,TVS XL 100 Heavy Duty,99.7,44128,4.3,88,63,93,4.4
Royal Enfield,Royal Enfield Scram 411,411,205997,24.3,185,30,140,4.6
Bajaj,Bajaj Avenger Street 160,160,115719,14.79,156,45,105,4.4
Suzuki,Suzuki Gixxer,155,131033,13.41,141,64,115,4.4
Harley-Davidson,Harley-Davidson Sportster S,1252,1648938,120.69,225,12,103,4.9
Hero,Hero Pleasure +,110.9,70577,8,104,63,93,4.5
Hero,Hero Super Splendor Xtec,124.7,84676,10.72,122,63,93,4.6
Honda,Honda CD 110 Dream,109.51,74364,8.67,112,74,86,4.3
KTM,KTM RC 390,373.27,321382,42.9,172,35,200,4.8
Yamaha,Yamaha Fascino 125,125,82296,8.04,99,66,90,4.3
Husqvarna,Husqvarna Vitpilen 250,249,219001,30.57,164,35,157,4.9
Hero,Hero Passion Plus,97.2,79273,7.91,115,63,93,4.6
Yamaha,Yamaha YZF-R3,321,465266,41.4,169,31,146,3.1
Suzuki,Suzuki Gixxer SF 250,249,194450,26.13,161,39,117,4.6
Kawasaki,Kawasaki Z650,649,665000,67.31,191,18,164,4.8
Kawasaki,Kawasaki Ninja ZX-6R,636,1120000,122.03,198,24,164,5
Hero,Hero Glamour Xtec,124.7,89686,10.72,122,63,93,4.1
Hero,Hero Xoom,110.9,75656,8.05,108,63,93,4.3
Bajaj,Bajaj CT 125X,124.4,73640,10.7,130,63,93,4.5
Bajaj,Bajaj CT 110,115.45,68321,8.48,127,104,90,4.3
Kawasaki,Kawasaki Ninja 500,451,524000,44.7,171,31,146,4.6
Bajaj,Bajaj Pulsar P150,149.68,117191,14.29,140,40,125,4.4
TVS,TVS Scooty Pep Plus,87.8,65667,5.36,93,63,93,4.2
KTM,KTM 390 Adventure,373.27,340355,42.9,177,25,146,4.7
Keeway,Keeway V302C,298,428793,29.09,167,31,146,4.3
Jawa,Jawa 350,334,199933,22.26,194,31,146,3.6
TVS,TVS Star City Plus,109.7,74688,8.08,115,63,93,4.4
BSA,BSA Goldstar 650,652,302215,45.6,201,20,164,3.9
Ducati,Ducati Panigale V4,1103,2772600,212.5,198,15,151,4.8
Hero,Hero Xtreme 200S 4V,199.6,143442,18.8,155,40,125,4.7
BMW,BMW M 1000 RR,999,4900000,209.19,192,15,164,4.8
Triumph,Triumph Daytona 660,660,972000,93.87,201,20,164,5
Bajaj,Bajaj Pulsar F250,249,150606,24.1,164,40,130,4.4
Hero,Hero Passion Xtec,113.2,81498,9,117,63,93,3.8
Kawasaki,Kawasaki Ninja 650,649,716000,67.3,196,21,164,4.9
Aprilia,Aprilia SR 160,160.03,132732,11.11,118,35,95,3.5
Benelli,Benelli Imperiale 400,374,234929,20.7,205,31,120,3.8
Hero,Hero Destini 125 Xtec,124.6,82018,9,115,63,93,4.3
Triumph,Triumph Rocket 3,2458,2198247,165,304,13,112,4.6
Honda,Honda Goldwing Tour,1833,3977923,124.7,390,17,119,4.7
KTM,KTM RC 125,124.7,191631,14.34,160,41,120,3.8
Bajaj,Bajaj Avenger Cruise 220,220,145635,18.76,163,40,120,4.4
Husqvarna,Husqvarna Svartpilen 401,399,292001,42.9,171,31,146,4.8
Hero,Hero Xpulse 200T 4V,199.6,137869,18.9,153,40,125,4.4
Suzuki,Suzuki Gixxer 250,249,183644,26.13,156,38,123,4.7
KTM,KTM 250 Adventure,248.76,246651,29.63,177,35,140,4.7
Triumph,Triumph Street Triple RS,765,1207000,128.2,166,20,164,4.8
Kawasaki,Kawasaki Ninja ZX-4R,399,849000,76.4,189,31,146,4.8
Harley-Davidson,Harley-Davidson Nightster,975,1339194,88.5,221,20,164,4.7
TVS,TVS Zest 110,109.7,73501,7.71,103,63,93,4.2
Hero,Hero Destini Prime,124.6,76806,9,115,63,93,4.7
Ducati,Ducati Panigale V4 R,998,6999000,215,194,20,164,5
Yezdi,Yezdi Scrambler,334,212256,28.7,192,30,140,4
Hero,Hero Pleasure + Xtec,110.9,79724,8,106,63,93,3.7
TVS,TVS XL 100 Comfort,99.7,46730,4.3,86,63,93,4.2
Zontes,Zontes 350R,348,279000,38.2,189,31,146,4.4
Triumph,Triumph Trident 660,660,825000,80,189,26,164,4.8
Keeway,Keeway K300 R,292.4,265000,27.1,165,31,146,4.3
Benelli,Benelli 502C,500,525000,46.8,216,20,146,4.6
Ducati,Ducati Diavel V4,1158,2591000,166.28,236,17,121,5
Vespa,Vespa VXL 125,124.45,131877,9.65,115,63,93,3.5
Kawasaki,Kawasaki KLX230RS,233,521000,19.57,115,40,125,5
Bajaj,Bajaj Avenger Street 220,220,144004,18.76,163,45,120,4.6
Honda,Honda NX500,471,590000,46.9,196,31,146,4.8
Harley-Davidson,Harley-Davidson Fat Bob,1868,2148881,92.5,306,15,151,5
Kawasaki,Kawasaki Ninja ZX-4RR,399,910000,78.7,189,31,146,4.2
Kawasaki,Kawasaki Eliminator,451,562000,44.7,176,31,146,4.5
Triumph,Triumph Speed Twin 900,900,879000,64.1,216,20,164,5
QJ,QJ Motor SRC 500,480,199026,25.15,205,31,146,4.3
Aprilia,Aprilia SR 125,124.45,125454,9.97,118,40,90,4.5
Benelli,Benelli TRK 251,249,299000,25.47,164,24,125,4.1
Kawasaki,Kawasaki Ninja H2 SX,998,3195000,197.2,266,15,164,4.6
Triumph,Triumph Bonneville Bobber,1200,1235000,76.9,251,24,138,4
Kawasaki,Kawasaki Vulcan S,649,710000,59.94,235,23,164,5
Ducati,Ducati Monster,937,1295000,109.96,188,19,164,4.7
Zontes,Zontes 350T,348,299000,38.2,221,31,146,4.7
Suzuki,Suzuki Katana,999,1362969,150.19,217,20,164,4.9
QJ,QJ Motor SRK 400,400,359000,40.34,186,31,146,4.7
QJ,QJ Motor SRC 250,249,149020,17.16,163,40,125,4.4
Keeway,Keeway SR250,223,149000,15.78,120,40,125,3.4
KTM,KTM 390 Adventure X,373.27,284212,42.9,177,31,146,4.6
Suzuki,Suzuki GSX-8R,776,925000,81.8,205,20,164,5
BMW,BMW S 1000 R,999,1900000,162.26,199,21,164,4.5
Harley-Davidson,Harley-Davidson Fat Boy,1868,2568855,93.87,317,15,129,4.6
Ducati,Ducati Panigale V2,955,2067757,152.8,200,16,164,4.9
Ducati,Ducati Streetfighter V4,1103,2462400,205,201,17,146.5,5
Benelli,Benelli TRK 502,500,584931,46.9,228,31,160,4.4
Kawasaki,Kawasaki Vulcan S,649,710000,59.94,235,23,164,4.6
Triumph,Triumph Tiger 900,888,1415000,106.5,249,17,164,5
Ducati,Ducati SuperSport,937,1605700,108.62,210,20,164,4.8
Ducati,Ducati Scrambler Icon,803,1039000,71.87,185,20,164,4.3
Keeway,Keeway K-Light 250V,249,320000,18.4,179,40,125,4.5
BMW,BMW R 1250 GS,1254,2055000,134.1,249,21,139.3333333,5
Vespa,Vespa SXL 125,124.45,135753,9.65,115,63,93,4
Keeway,Keeway K300 N,292.4,229000,27.1,151,31,146,4.6
Aprilia,Aprilia SXR 160,160.03,145414,10.94,129,35,100,3.9
Vespa,Vespa VXL 150,149.5,145335,10.64,115,40,125,4.4
BMW,BMW C 400 GT,350,1125000,33.5,214,29,139,4.2
Aprilia,Aprilia RS 660,659,1774000,98.56,183,20,164,4
Indian,Indian Chief Dark Horse,1890,2020000,81,304,20,171,4.9
Benelli,Benelli TRK 502X,500,650000,46.9,235,31,146,4.8
Honda,Honda Africa Twin,1082,1601500,97.89,239,17,142.3333333,4.8
Vespa,Vespa SXL 150,149.5,149704,10.64,115,40,125,4.2
Triumph,Triumph Street Triple R,765,1043000,118.4,168,20,164,4.8
Harley-Davidson,Harley-Davidson Road Glide Special,1868,4178829,92.5,387,15,171,5
QJ,QJ Motor SRV 300,296,319905,29.88,164,31,146,4.4
Honda,Honda XL750 Transalp,755,1099990,90.5,208,20,164,5
Triumph,Triumph Speed Twin,1200,1189000,98.6,216,17,171,4.8
Vespa,Vespa ZX 125,124.45,117682,9.65,115,63,93,4.4
BMW,BMW F850 GS,853,1295000,93.87,233,20,164,4.9
Aprilia,Aprilia Storm 125,124.45,117107,9.97,118,40,90,4.5
Harley-Davidson,Harley-Davidson Breakout,1923,3099000,101.9,171,17,161,5
Triumph,Triumph Scrambler 900,900,989000,64.1,223,20,164,4.9
BMW,BMW R 1250 GS Adventure,1254,2250000,134.1,268,21,171,4.9
Kawasaki,Kawasaki Z H2,998,2348000,197.26,239,15,164,4.7
Zontes,Zontes GK350,348,337007,38.2,188,31,146,4.7
Triumph,Triumph Tiger Sport 660,660,958000,80,206,22,164,4.7
Aprilia,Aprilia RSV4 1100 Factory,1099,3126000,213.89,202,17,201,4.7
Kawasaki,Kawasaki Ninja H2 SX SE,998,3295000,197.2,268,15,164,4.7
Kawasaki,Kawasaki Z650RS,649,699000,67.31,192,23,164,4.7
Kawasaki,Kawasaki Versys 650,649,777000,65.7,219,20,164,4.7
BMW,BMW M 1000 R,999,3300000,206.5,229,20,164,4.7
Indian,Indian Roadmaster Elite,1890,7182000,120,389,15,182,4.7
Ducati,Ducati Streetfighter V2,955,1850200,150.59,200,20,164,4.7
Triumph,Triumph Tiger 1200,1160,1939000,148,245,18,181,5
Zontes,Zontes 350X,348,299000,38.2,181,31,146,4.5
Keeway,Keeway Sixties 300i,278.2,330000,18.4,146,31,146,5
Kawasaki,Kawasaki Z900RS,948,1680000,109.96,215,20,164,5
Triumph,Triumph Speed Triple 1200 RS,1160,1825000,177.5,198,22,182,5
Vespa,Vespa 946 Dragon,149.5,1427000,161,181,40,125,5
BMW,BMW F 900 GS,895,1375000,103.25,219,20,164,5
Benelli,Benelli Leoncino 500,500,498974,46.8,207,31,146,5
Moto,Moto Morini X-Cape,649,599000,59.17,215,20,164,5
Keeway,Keeway Vieste 300,278.2,325000,18.4,147,31,146,5
Suzuki,Suzuki V-Strom 800DE,776,1030000,83,232,20,164,5
BMW,BMW R 1300 GS,1300,2095000,145,237,17,182,5
Triumph,Triumph Bonneville T100,900,999000,64.1,228,26,160,5
Indian,Indian Chief Bobber Dark Horse,1890,2139925,137,315,20,183,5
BMW,BMW K 1600,1649,2990000,158,344,15,193,5
BMW,BMW R18,1802,3250000,89.84,427,17,182,5
Ducati,Ducati Hypermotard 950,937,1600500,112.6,200,9,164,5
Triumph,Triumph Bonneville Speedmaster,1200,1235000,76.9,263,17,192,5
Harley-Davidson,Harley-Davidson PAN America 1250,1252,2463776,150.19,258,17,190.4666667,5
Aprilia,Aprilia SXR 125,124.45,134025,9.48,129,40,193.6424242,5
BMW,BMW F 900 GS Adventure,895,1475000,103.25,209,20,196.8181818,5
Moto,Moto Morini Seiemmezzo,649,689007,54.24,215,20,199.9939394,5
Triumph,Triumph Bonneville T120,1200,1139000,78.9,236,18,203.169697,5
Triumph,Triumph Tiger 850 Sport,888,1195000,84,192,24,206.3454545,5
Ducati,Ducati Scrambler Nightshift,803,1200000,71.87,191,20,209.5212121,5
Harley-Davidson,Harley-Davidson Street Glide Special,1868,3878908,92.5,375,15,212.6969697,5
Indian,Indian Super Chief Limited,1890,2282155,101.2,335,14,215.8727273,5
BMW,BMW R 12 nine T,1170,2090000,107.5,220,17,219.0484848,5
Triumph,Triumph Scrambler 1200,1200,1213000,89,230,20,222.2242424,5
Ducati,Ducati Multistrada V4,1158,2148000,167.62,240,14,225.4,4
Ducati,Ducati Scrambler 1100,1079,1340000,84.48,206,19,228.5757576,4.9
Harley-Davidson,Harley-Davidson Heritage Classic,1868,2718915,93.87,330,17,231.7515152,5
Ducati,Ducati DesertX,937,1833200,108.6,223,20,234.9272727,3.7
BMW,BMW M 1000 XR,999,4500000,201,223,20,238.1030303,4
Ducati,Ducati Hypermotard 698 Mono,659,1650000,76.43,241,20,241.2787879,3
BMW,BMW R 12,1170,1990000,93.7,191,17,244.4545455,5
Ducati,Ducati Scrambler Full Throttle,803,1200000,71.87,185,20,247.630303,4.7
Kawasaki,Kawasaki KX65,64,312000,121,60,63,250.8060606,4.7
Ducati,Ducati Multistrada V4 RS,1103,3840000,180,260,17,253.9818182,4.7
BMW,BMW F900XR,895,1255000,103.25,219,24,257.1575758,4.7
Aprilia,Aprilia Tuono 660,659,1744000,93.87,183,20,260.3333333,4.7
Aprilia,Aprilia Tuareg 660,659,1885000,79.12,204,20,263.5090909,4.7
Moto,Moto Guzzi V85 TT,853,1540000,75.09,230,20,266.6848485,4.7
BMW,BMW S 1000 XR,999,2250000,167.62,227,20,269.8606061,4.7
Kawasaki,Kawasaki KLX 140R F,144,411000,111.1,99,40,273.0363636,4.7
Kawasaki,Kawasaki KLX110R L,112,312000,121,76,63,276.2121212,5
BMW,BMW R 1250 RT,1254,2495000,134.1,279,21,279.3878788,5
Ducati,Ducati Multistrada V2,937,1635700,111.3,222,20,282.5636364,5
Kawasaki,Kawasaki KLX 300R,292,560000,28.6,128,31,285.7393939,5
Kawasaki,Kawasaki KLX450R,449,899000,25,126,31,288.9151515,4.5
Kawasaki,Kawasaki KX250,249,799000,23,108,40,292.0909091,4.7
Kawasaki,Kawasaki KX112,112,487800,21,77,63,295.2666667,4.5
Kawasaki,Kawasaki KX450,449,859000,19,110,31,146,5
Kawasaki,Kawasaki KX 85,84,420000,17,75,63,93,5
Bajaj,Bajaj Pulsar N125,124.58,94707,11.83,125,63,93,4.6
Honda,Honda CB300F Flex-Fuel,293.52,170000,24.54,153,31,146,4.7
